year,Var_QMPK,Var_VMPK,Var_phi,Var_Y_div_K,Var_PY_div_PK,Cov_phi_Y_div_K,Cov_Y_div_K_PY_div_PK,Cov_phi_PY_div_PK,Cov_QMPK_PY_div_PK
1970,0.7489529175564689,0.42435518027987823,0.08802315113032844,0.5007812297498181,0.15919506585382812,0.08007426833816113,-0.21596560254629538,-0.02593079901891385,-0.24189640156520914
1980,0.2863760705819025,0.19622352984185706,0.08505744424520618,0.1877957947482546,0.06416590765153868,0.006761415794220856,-0.07786975275257756,0.0007105285567855574,-0.07715922419579205
1990,0.22021756829507885,0.1607072152023271,0.06693596507482734,0.15718894319416643,0.0780664100398476,-0.0019536699869574905,-0.07524611259691114,0.006457731030611481,-0.06878838156629966
2000,0.19679912938407193,0.11849797289749171,0.0636259125864623,0.1688324972902391,0.12040436013793533,-0.01782964024631475,-0.11735177092859404,0.017999012616336244,-0.09935275831225777
