countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,phi_NR,workers,gdp_per_worker
KOR,"Korea, Republic of",Won,2005,1.1312974e6,1.1465496e6,47.044126,22.398535,2351.33,3.254755,1.1312974e6,1.1465496e6,3.9607545e6,0.72568655,1.1465496303004874e6,3.9607545e6,1.0,0.5441377,1024.116666666667,0.7468113,0.7368766,1,1,0,0,0.7693043158149862,,0.49651924,0.3342051,0.12981914,0.33399007,-0.2936012,-0.00093230914,0.7983189933890615,0.6545624946018704,0.7872937465384903,0.7427295,0.7760368,0.6263365,0.0045101866,21.445642713344096,53463.05728979546
LKA,Sri Lanka,Sri Lanka Rupee,2005,65956.6,68226.75,19.842536,6.7424026,,3.0971298,65956.6,68226.75,194628.25,0.26598257,68226.75,194628.25,1.0,0.6911946,100.4980516666667,0.37003517,0.35772282,1,1,0,0,0.4006534716670086,73.33333333333333,0.66822326,0.24722478,0.13092828,0.13600062,-0.18796356,0.0055865385,0.36945601087727536,0.3781810561054497,0.35760972687502723,0.66385764,0.64776784,0.30237657,0.025482945,6.127482387406825,11134.548528481993
LUX,Luxembourg,Euro,2005,31680.795,26705.604,0.45719699999999996,0.30032852,1559.58,2.901288,31680.795,26705.604,84507.58,1.1216757,26705.603515625,84507.58,1.0,0.5775397,0.8041200000000001,1.1887069,1.4101603,1,1,0,0,0.7743927492888653,,0.44168538,0.32487896,0.11780474,0.6383828,-0.9065984,0.38384643,1.1331603385561384,0.9781961997061605,1.9775087926523582,0.7458133,0.72633576,1.0423267,0.0014174385,0.1931475898311138,138265.2692636553
MAR,Morocco,Moroccan Dirham,2005,90653.42,89102.586,30.392473,10.843497,,1.7809191,90653.42,89102.586,283286.4,0.3721629,89102.5859375,283286.4,1.0,0.5139003,8.865008333333334,0.65660846,0.6680368,1,1,0,0,0.7043079700014121,76.66666666666667,0.62314373,0.35197684,0.09927453,0.18311365,-0.36308163,0.10557286,0.6159300652136883,0.5465519364040731,1.3021498443370785,0.6855182,0.6430357,0.54950005,0.037870437,14.77377261544466,6031.132890481284
MEX,Mexico,Mexican Peso,2005,1.2768222e6,1.2704549e6,106.483757,40.89969,2207.2,2.6291075,1.2768222e6,1.2704549e6,3.2024465e6,0.7484564,1.270454875e6,3.2024465e6,1.0,0.38474837,10.89789166666667,0.6626566,0.66597784,1,1,0,0,0.7097461699237542,72.22222222222221,0.6821772,0.20875414,0.12871903,0.23460749,-0.24868903,-0.005568832,0.6502538701788874,0.76980113498996,0.554623047481694,0.718675,0.702074,0.7852674,0.0933846,65.51430829423487,19392.021500008686
MLT,Malta,Euro,2005,8152.702,7719.2534,0.40929499999999996,0.15672043,1895.32,2.931126,8152.702,7719.2534,23147.1,0.7979689,7719.253698843712,23147.1,1.0,0.5548387,0.8054446593291404,0.733602,0.77479494,1,1,0,0,0.7785578070007317,,0.678676,0.18816663,0.2219634,0.426257,-0.7240171,0.20895396,0.7474262378001737,0.7444527265545108,0.682134181734368,0.738695,0.6915939,0.7250608,0.003589808,0.18220228733211755,42366.39139385845
MOZ,Mozambique,Metical,2005,12384.57,12342.784,20.770013,10.487506,,1.1803235,12384.57,12342.784,22414.45,0.23568854,12342.784759373288,22414.45,1.0,0.41119468,23.060965,0.5311864,0.53298473,1,1,0,0,0.29144268805831103,67.22222222222223,0.8695629,0.13806452,0.13785157,0.22711739,-0.37024716,-0.002349255,0.5105033640322273,0.6914685020917037,0.5011246304841944,0.7148572,0.63898546,0.6793242,0.13532844,12.229494106810211,1009.2636761494657
MYS,Malaysia,Malaysian Ringgit,2005,290610.16,271350.2,26.100241,10.312733,,2.8681867,290610.16,271350.2,1.0255986e6,0.5108569,271350.1875,1.0255986e6,1.0,0.5313437,3.787091666666667,0.49390712,0.5289638,1,1,0,0,0.7084913480774778,73.33333333333333,0.44423205,0.29547954,0.09625665,0.7507817,-0.6157498,0.028999804,0.5261450514984031,0.4009378885572763,0.6305145702598568,0.6951732,0.68402797,0.31703663,0.2026049,12.232042415277244,22183.555148655832
NER,Niger,CFA Franc BCEAO,2005,6856.3623,6884.656,12.993884,4.345519,,1.2296486,6856.3623,6884.656,32337.236,0.12924367,6884.65576171875,32337.236,1.0,0.6395667,527.46814284,0.4913695,0.48935014,1,1,0,0,0.46498576807210273,65.55555555555556,0.7315254,0.21118964,0.1765427,0.08458422,-0.17737828,-0.026463725,0.4918734383260928,0.5350897699682688,0.43698083650941566,0.69957423,0.60233915,0.4290984,0.20842768,4.6834282361404895,1470.0034706611077
NLD,Netherlands,Euro,2005,552211.9,591543.9,16.305457,8.2625475,1393.26,3.0985305,552211.9,591543.9,1.6594354e6,0.98839486,591543.875,1.6594354e6,1.0,0.6051212,0.8041200000000001,1.1562059,1.0793293,1,1,0,0,0.9055848674603313,,0.49192786,0.18293323,0.17907216,0.82280713,-0.7005535,0.0238131,1.0698581615434972,1.1217903460106944,1.4285687769475308,0.7187054,0.74948096,1.3412904,0.029168656,6.438679369981229,91873.47917306286
NZL,New Zealand,New Zealand Dollar,2005,105482.17,101895.016,4.134117,2.1382272,1750.81,3.460721,105482.17,101895.016,234928.64,0.8034613,101895.01562499999,234928.64,1.0,0.5069785,1.420273456614326,1.0789746,1.1169593,1,1,0,0,0.8954745690399913,,0.63428086,0.24262099,0.1803842,0.28621906,-0.36174384,0.018238777,1.0497170454941107,1.1295627725701696,1.113810378375606,0.7450393,0.71166915,1.2382616,0.037377253,2.0382085156903265,49992.43936064554
PAN,Panama,Balboa,2005,30147.904,32692.537,3.238321,1.188305,,2.7926462,30147.904,32692.537,51554.94,0.84797555,32692.536696482337,51554.94,1.0,0.39870808,1.0,0.51296103,0.4730346,0,1,0,0,,76.66666666666667,0.5354678,0.13609679,0.19128586,0.04347801,-0.17700084,0.27067238,0.5482296921736741,0.6380708049778486,0.32521961718004516,0.6780353,0.71802557,0.53715295,0.021805018,1.9471761704256534,16789.717132902464
PER,Peru,Nuevo Sol,2005,158365.61,153729.84,27.558768999999998,8.910955,1926.0,2.6536667,158365.61,153729.84,615445.1,0.45357108,153729.84367655838,615445.1,1.0,0.32516846,3.295841666666667,0.5013013,0.5164182,1,1,0,0,0.6530394839641351,85.55555555555556,0.68611234,0.20472229,0.07831011,0.15492527,-0.12519509,0.001125098,0.4977972122154868,0.45127421416915436,0.6627855377670847,0.71858543,0.64957315,0.3690334,0.08276709,18.597525686716196,8266.144988298409
PHL,Philippines,Philippine Peso,2005,255249.81,261230.06,85.546427,30.448885,,2.6686895,255249.81,261230.06,909927.7,0.32239679,261230.06881065448,909927.7,1.0,0.40360597,55.08549166666667,0.40380675,0.39456254,1,1,0,0,0.40197918177193775,86.11111111111113,0.74900043,0.2168999,0.065969825,0.21736968,-0.27306798,0.023828156,0.39516509016169726,0.39202339197957303,0.5406634128479818,0.726526,0.6937467,0.28990746,0.07556638,51.019381091729635,5120.212297956434
POL,Poland,Zloty,2005,512951.03,512215.56,38.16504,13.913745,2079.05,2.8707674,512951.03,512215.56,1.3993798e6,0.70605195,512215.56250000006,1.3993798e6,1.0,0.5504808,3.235483333333333,0.5924775,0.59332824,1,1,0,0,0.7202582016592295,83.33333333333333,0.60575956,0.17285001,0.23024869,0.24543628,-0.28689748,0.0326029,0.6209358158026136,0.6613354340781538,0.46591426655651463,0.7109506,0.69096076,0.6203379,0.03436245,17.155918898119925,29856.492417677055
PRT,Portugal,Euro,2005,220057.28,213799.27,10.543662999999999,5.0890164,1938.82,2.4575362,220057.28,213799.27,771836.7,0.73860353,213799.2612940975,771836.7,1.0,0.70556855,0.8041200000000001,0.87180877,0.8973271,1,1,0,0,0.8349570169496479,,0.6695872,0.27177426,0.1847962,0.24490586,-0.39724275,0.026179204,0.8673628059799999,0.7774545436574568,1.0266818598473302,0.7273709,0.7202038,0.74674505,0.0067568356,3.104385964132547,68870.06580212443
